"EDAD","POB_TOTAL","HOMBRES","MUJERES"
"00 años",4258,2139,2119
"01 años",4670,2341,2329
"02 años",5049,2544,2505
"03 años",5175,2643,2532
"04 años",5268,2610,2658
"05 años",5246,2786,2460
"06 años",5424,2806,2618
"07 años",5269,2659,2610
"08 años",5632,2869,2763
"09 años",5476,2757,2719
"10 años",5889,3036,2853
"11 años",5208,2578,2630
"12 años",5679,2790,2889
"13 años",5500,2743,2757
"14 años",5614,2752,2862
"15 años",6054,3136,2918
"16 años",5905,2913,2992
"17 años",6449,3198,3251
"18 años",6690,3392,3298
"19 años",5946,2993,2953
"20 años",6577,3338,3239
"21 años",5965,2995,2970
"22 años",6531,3254,3277
"23 años",6193,3017,3176
"24 años",5953,2911,3042
"25 años",6334,3142,3192
"26 años",6013,2854,3159
"27 años",5811,2836,2975
"28 años",6064,2942,3122
"29 años",5229,2483,2746
"30 años",6942,3310,3632
"31 años",4360,2089,2271
"32 años",6227,2907,3320
"33 años",5659,2660,2999
"34 años",5512,2580,2932
"35 años",6572,3072,3500
"36 años",6448,3011,3437
"37 años",5946,2844,3102
"38 años",6774,3257,3517
"39 años",5609,2619,2990
"40 años",7713,3615,4098
"41 años",4274,1947,2327
"42 años",6639,3112,3527
"43 años",4956,2280,2676
"44 años",4511,2113,2398
"45 años",6029,2750,3279
"46 años",4942,2278,2664
"47 años",4789,2302,2487
"48 años",5040,2295,2745
"49 años",4487,2014,2473
"50 años",6333,2898,3435
"51 años",3767,1706,2061
"52 años",4924,2288,2636
"53 años",4140,1923,2217
"54 años",4034,1797,2237
"55 años",4359,1984,2375
"56 años",3957,1847,2110
"57 años",3179,1408,1771
"58 años",3388,1519,1869
"59 años",2971,1391,1580
"60 años",4017,1734,2283
"61 años",2101,867,1234
"62 años",2838,1223,1615
"63 años",2846,1260,1586
"64 años",2617,1145,1472
"65 años",2889,1270,1619
"66 años",1875,780,1095
"67 años",1988,884,1104
"68 años",2448,1071,1377
"69 años",1789,764,1025
"70 años",2546,1052,1494
"71 años",1338,585,753
"72 años",2013,857,1156
"73 años",1788,717,1071
"74 años",1695,671,1024
"75 años",1800,729,1071
"76 años",1562,630,932
"77 años",1155,449,706
"78 años",1446,618,828
"79 años",1021,440,581
"80 años",1390,523,867
"81 años",765,286,479
"82 años",974,389,585
"83 años",815,309,506
"84 años",858,335,523
"85 años",726,274,452
"86 años",569,237,332
"87 años",514,212,302
"88 años",387,159,228
"89 años",296,103,193
"90 años",343,142,201
"91 años",104,36,68
"92 años",156,66,90
"93 años",144,53,91
"94 años",90,31,59
"95 años",86,29,57
"96 años",63,25,38
"97 años",48,12,36
"98 años",52,11,41
"99 años",23,4,19
"100 años y más",57,12,45
"No especificado",8542,4267,4275
